,Time,Low,High,Open,Close,Volume
362,2024-02-08 19:00:00,2418.79,2524.11,2419.78,2487.84,121261.76511101
361,2024-02-09 19:00:00,2473.32,2518.02,2487.87,2501.08,33777.58281582
360,2024-02-10 19:00:00,2494.42,2540.57,2501.08,2508.11,37979.95085055
359,2024-02-11 19:00:00,2472.17,2666.66,2508.49,2661.03,115679.36286012
358,2024-02-12 19:00:00,2590.41,2687.13,2661.13,2641.63,128589.09309863
357,2024-02-13 19:00:00,2619.36,2788.95,2641.84,2777.56,110804.3856468
356,2024-02-14 19:00:00,2761.9,2868.68,2777.37,2825.94,123679.76881122
355,2024-02-15 19:00:00,2745.48,2860.28,2825.88,2803.89,108579.83594863
354,2024-02-16 19:00:00,2719.73,2806.8,2804.09,2786.83,50463.18174055
353,2024-02-17 19:00:00,2765.55,2896.74,2787.12,2882.06,64492.75636679
352,2024-02-18 19:00:00,2857.33,2985.0,2881.91,2945.43,102810.47000218
351,2024-02-19 19:00:00,2873.82,3033.53,2944.94,3015.56,162450.24960627
350,2024-02-20 19:00:00,2868.32,3017.99,3015.53,2968.37,168311.07685356
349,2024-02-21 19:00:00,2906.13,3035.84,2968.37,2969.77,159019.68302075
348,2024-02-22 19:00:00,2905.71,2991.94,2969.75,2921.79,95313.32394229
347,2024-02-23 19:00:00,2906.2,3005.28,2921.76,2992.66,46828.0872104
346,2024-02-24 19:00:00,2983.45,3121.04,2992.41,3113.17,86028.2084838
345,2024-02-25 19:00:00,3036.62,3198.77,3113.37,3178.34,149112.056773
344,2024-02-26 19:00:00,3167.8,3291.36,3178.28,3243.84,144336.78996453
343,2024-02-27 19:00:00,3185.0,3492.31,3244.35,3386.64,231321.85685237
342,2024-02-28 19:00:00,3302.1,3521.99,3386.64,3341.78,184874.52035185
341,2024-02-29 19:00:00,3340.15,3454.95,3341.78,3436.0,108273.12334217
340,2024-03-01 19:00:00,3398.14,3462.0,3436.37,3424.04,59797.37297303
339,2024-03-02 19:00:00,3363.59,3493.78,3423.77,3489.53,65187.6206346
338,2024-03-03 19:00:00,3430.0,3650.0,3489.95,3633.23,152726.49937298
337,2024-03-04 19:00:00,3205.0,3829.93,3632.92,3557.41,365410.47754845
336,2024-03-05 19:00:00,3502.0,3903.42,3557.42,3821.82,219365.56854364
335,2024-03-06 19:00:00,3736.5,3941.57,3822.1,3875.28,137053.14296446
334,2024-03-07 19:00:00,3826.37,4000.0,3875.42,3892.6,165705.35869307
333,2024-03-08 19:00:00,3880.0,3951.37,3892.62,3913.55,62180.56431897
332,2024-03-09 19:00:00,3800.01,3972.17,3913.84,3881.96,84572.21007878
331,2024-03-10 20:00:00,3730.72,4091.67,3882.48,4066.21,189041.07032596
330,2024-03-11 20:00:00,3828.83,4093.88,4066.95,3980.34,174639.81824993
329,2024-03-12 20:00:00,3934.52,4085.57,3980.31,4007.7,133886.82772964
328,2024-03-13 20:00:00,3714.53,4013.25,4007.79,3880.45,190612.34558486
327,2024-03-14 20:00:00,3566.38,3932.39,3880.45,3742.95,252124.79920745
